timestamp,pixel,fps,pv,ra,stream,device
2023-10-04 10:45:47.721904,120,30,0.67,0.59,1,Laptop
2023-10-04 10:45:53.796628,240,22,0.82,0.86,1,Laptop
2023-10-04 10:45:58.884152,240,22,0.95,0.95,1,Laptop
2023-10-04 10:45:59.084874,420,14,0.79,0.64,1,Laptop
2023-10-04 10:45:59.886695,420,14,1.0,0.86,1,Laptop
2023-10-04 10:46:01.123165,420,30,1.0,0.93,1,Laptop
2023-10-04 10:46:02.500942,420,30,1.0,0.93,1,Laptop
2023-10-04 10:46:03.711484,300,18,0.94,0.94,1,Laptop
2023-10-04 10:46:05.112526,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:06.186057,180,22,0.87,0.86,1,Laptop
2023-10-04 10:46:07.557994,180,22,0.91,0.91,1,Laptop
2023-10-04 10:46:09.243822,300,14,1.0,0.93,1,Laptop
2023-10-04 10:46:10.518939,300,14,1.0,0.86,1,Laptop
2023-10-04 10:46:11.880147,300,18,0.89,0.89,1,Laptop
2023-10-04 10:46:13.240926,300,18,0.89,0.94,1,Laptop
2023-10-04 10:46:14.404752,300,18,1.0,0.91,1,Laptop
2023-10-04 10:46:15.736328,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:16.942573,300,18,1.0,0.93,1,Laptop
2023-10-04 10:46:18.145324,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:19.367747,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:20.568664,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:21.860204,300,18,0.89,1.0,1,Laptop
2023-10-04 10:46:22.833585,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:24.076420,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:25.298245,300,18,0.94,0.94,1,Laptop
2023-10-04 10:46:26.508506,300,18,0.89,1.0,1,Laptop
2023-10-04 10:46:27.666821,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:28.905268,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:30.072848,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:31.258375,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:32.595447,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:34.780179,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:35.775579,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:36.943073,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:38.128258,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:39.291010,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:40.458809,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:41.620609,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:42.796817,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:43.981945,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:45.132701,300,18,1.0,1.0,1,Laptop
2023-10-04 10:46:46.303869,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:47.558192,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:48.932663,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:50.527480,300,18,1.0,0.72,1,Laptop
2023-10-04 10:46:51.801135,300,18,1.0,0.94,1,Laptop
2023-10-04 10:46:53.065518,300,18,1.0,0.94,1,Laptop