duration,type
262,pml
257,pml
230,pml
2918,str
290,pml
243,pml
243,pml
280,pml
3401,str
262,pml
257,pml
267,pml
285,pml
260,pml
274,pml
3917,str
290,pml
225,pml
291,pml
230,pml
5042,str
306,pml
267,pml
293,pml
277,pml
6560,str
295,pml
314,pml
310,pml
280,pml
6771,str
302,pml
308,pml
310,pml
267,pml
290,pml
8719,str
302,pml
308,pml
310,pml
267,pml
290,pml
9251,str
257,pml
295,pml
306,pml
267,pml
293,pml
277,pml
10266,str
262,pml
257,pml
305,pml
267,pml
271,pml
11521,str
262,pml
257,pml
286,pml
271,pml
304,pml
267,pml
12451,str
257,pml
295,pml
301,pml
267,pml
293,pml
277,pml
15212,str
262,pml
257,pml
256,pml
309,pml
267,pml
16761,str
301,pml
257,pml
271,pml
304,pml
267,pml
18451,str
292,pml
257,pml
286,pml
304,pml
267,pml
19125,str
304,pml
297,pml
262,pml
286,pml
241,pml
20349,str
281,pml
296,pml
281,pml
309,pml
297,pml
21579,str