pixel,fps,pv,ra,stream,device,GPU,surprise
420,30,1.0,0.87,5,Laptop,0,0
420,30,1.0,0.87,5,Laptop,0,0
420,30,1.0,0.93,5,Laptop,0,0
420,30,1.0,0.93,5,Laptop,0,0
420,30,1.0,0.87,5,Laptop,0,0
420,30,1.0,0.9,5,Laptop,0,0
420,30,1.0,0.93,5,Laptop,0,0
420,30,1.0,0.87,5,Laptop,0,0
420,30,1.0,0.90,5,Laptop,0,0
420,30,1.0,0.93,5,Laptop,0,0
420,30,0.9,0.93,5,Laptop,0,0
420,18,0.94,0.5,5,Laptop,0,1189
420,18,0.94,0.17,5,Laptop,0,1211
420,18,1.0,0.28,5,Laptop,0,1187
420,18,0.94,0.56,5,Laptop,0,1188
420,18,1.0,0.17,5,Laptop,0,1200
420,18,1.0,0.17,5,Laptop,0,1203
420,18,0.94,0.22,5,Laptop,0,1204
420,18,0.94,0.28,5,Laptop,0,1197
420,18,0.94,0.28,5,Laptop,0,1198
420,18,1.0,0.39,5,Laptop,0,1196
420,18,1.0,0.39,5,Laptop,0,1190
420,18,0.94,0.5,5,Laptop,0,1189
420,18,1.0,0.45,5,Laptop,0,1200
420,18,1.0,0.43,5,Laptop,0,1193
420,18,1.0,0.56,5,Laptop,0,1173
420,18,0.94,0.52,5,Laptop,0,1197
420,18,1.0,0.47,5,Laptop,0,1177
420,18,1.0,0.44,5,Laptop,0,1186
420,18,1.0,0.42,5,Laptop,0,1173
420,18,1.0,0.44,5,Laptop,0,1180
420,18,1.0,0.67,2,Laptop,0,1178
420,18,1.0,0.72,2,Laptop,0,1223
420,18,1.0,0.67,2,Laptop,0,1175
420,18,1.0,0.67,2,Laptop,0,1175
420,18,1.0,0.72,2,Laptop,0,1167
420,18,1.0,0.78,2,Laptop,0,1160
420,18,1.0,0.78,2,Laptop,0,1162
420,18,1.0,0.72,2,Laptop,0,1167
420,18,1.0,0.72,2,Laptop,0,1178
420,18,0.94,0.61,2,Laptop,0,1188
420,18,1.0,0.67,2,Laptop,0,1177
420,18,1.0,0.67,2,Laptop,0,1167
420,18,1.0,0.72,2,Laptop,0,1173
420,18,1.0,0.61,2,Laptop,0,1179
420,18,1.0,0.67,2,Laptop,0,1167
420,18,1.0,0.72,2,Laptop,0,1177
420,18,1.0,0.78,2,Laptop,0,1170
420,18,0.89,0.83,2,Laptop,0,1165
420,18,1.0,0.78,2,Laptop,0,1170
420,18,1.0,0.61,2,Laptop,0,1179